,Name,Team,BYE,Pos,ADP,FantasyPros,NFLRank,NFLvADP,NFLvFP,Round,Pick,,,,,,,,,,,,,,
,Christian McCaffrey,CAR,13,RB1,1,1,1,0.00,0.00,1,1,,,,,,,,,,,,,,
,Saquon Barkley,NYG,11,RB2,3,2,2,-0.33,0.00,,2,,,,,,,,,,,,,,
,Michael Thomas,NO,6,WR1,4,3,3,-0.25,0.00,,3,,,,,,,,,,,,,,
,Ezekiel Elliott,DAL,10,RB3,2,4,4,1.00,0.00,,4,,,,,,,,,,,,,,
,Alvin Kamara,NO,6,RB4,7,5,5,-0.29,0.00,,5,,,,,,,,,,,,,,
,Dalvin Cook,MIN,7,RB5,6,6,6,0.00,0.00,,6,,,,,,,,,,,,,,
,Derrick Henry,TEN,7,RB6,5,9,7,0.40,-0.22,,7,,,,,,,,,,,,,,
,Davante Adams,GB,5,WR2,12,7,8,-0.33,0.14,,8,,,,,,,,,,,,,,
,DeAndre Hopkins,ARI,8,WR5,14,12,9,-0.36,-0.25,,9,,,,,,,,,,,,,,
,Joe Mixon,CIN,9,RB7,9,10,10,0.11,0.00,,10,,,,,,,,,,,,,,
,Tyreek Hill,KC,10,WR4,8,11,11,0.38,0.00,,11,,,,,,,,,,,,,,
,Julio Jones,ATL,10,WR3,13,8,12,-0.08,0.50,,12,,,,,,,,,,,,,,
,Kenyan Drake,ARI,8,RB8,21,13,13,-0.38,0.00,2,13,,,,,,,,,,,,,,
,Miles Sanders,PHI,9,RB11,18,18,14,-0.22,-0.22,,14,,,,,,,,,,,,,,
,Austin Ekeler,LAC,10,RB9,25,16,15,-0.40,-0.06,,15,,,,,,,,,,,,,,
,Nick Chubb,CLE,9,RB12,11,21,16,0.45,-0.24,,16,,,,,,,,,,,,,,
,Josh Jacobs,LV,6,RB13,10,22,17,0.70,-0.23,,17,,,,,,,,,,,,,,
,Aaron Jones,GB,5,RB14,15,23,18,0.20,-0.22,,18,,,,,,,,,,,,,,
,Clyde Edwards-Helaire,KC,10,RB10,28,17,19,-0.32,0.12,,19,,,,,,,,,,,,,,
,Chris Godwin,TB,13,WR6,16,14,20,0.25,0.43,,20,,,,,,,,,,,,,,
,Travis Kelce,KC,10,TE1,17,15,21,0.24,0.40,,21,,,,,,,,,,,,,,
,Patrick Mahomes,KC,10,QB1,20,25,22,0.10,-0.12,,22,,,,,,,,,,,,,,
,Lamar Jackson,BAL,8,QB2,22,29,23,0.05,-0.21,,23,,,,,,,,,,,,,,
,George Kittle,SF,11,TE2,19,19,24,0.26,0.26,,24,,,,,,,,,,,,,,
,Kenny Golladay,DET,5,WR8,23,24,25,0.09,0.04,3,25,,,,,,,,,,,,,,
,Mike Evans,TB,13,WR9,24,26,26,0.08,0.00,,26,,,,,,,,,,,,,,
,Todd Gurley,ATL,10,RB15,41,35,27,-0.34,-0.23,,27,,,,,,,,,,,,,,
,Leonard Fournette,JAC,7,RB16,33,37,28,-0.15,-0.24,,28,,,,,,,,,,,,,,
,Allen Robinson,CHI,11,WR7,37,20,29,-0.22,0.45,,29,,,,,,,,,,,,,,
,D.J. Moore,CAR,13,WR11,50,28,30,-0.40,0.07,,30,,,,,,,,,,,,,,
,Odell Beckham Jr.,CLE,9,WR13,44,31,31,-0.30,0.00,,31,,,,,,,,,,,,,,
,Amari Cooper,DAL,10,WR12,26,30,32,0.23,0.07,,32,,,,,,,,,,,,,,
,Adam Thielen,MIN,7,WR14,29,32,33,0.14,0.03,,33,,,,,,,,,,,,,,
,Cooper Kupp,LAR,9,WR15,31,34,34,0.10,0.00,,34,,,,,,,,,,,,,,
,JuJu Smith-Schuster,PIT,8,WR10,39,27,35,-0.10,0.30,,35,,,,,,,,,,,,,,
,Melvin Gordon,DEN,8,RB18,34,41,36,0.06,-0.12,,36,,,,,,,,,,,,,,
,Chris Carson,SEA,6,RB17,27,40,37,0.37,-0.08,4,37,,,,,,,,,,,,,,
,Le'Veon Bell,NYJ,11,RB19,42,42,38,-0.10,-0.10,,38,,,,,,,,,,,,,,
,Mark Andrews,BAL,8,TE4,32,44,39,0.22,-0.11,,39,,,,,,,,,,,,,,
,James Conner,PIT,8,RB20,45,45,40,-0.11,-0.11,,40,,,,,,,,,,,,,,
,David Johnson,HOU,8,RB21,43,50,41,-0.05,-0.18,,41,,,,,,,,,,,,,,
,Calvin Ridley,ATL,10,WR17,35,38,42,0.20,0.11,,42,,,,,,,,,,,,,,
,A.J. Brown,TEN,7,WR18,30,39,43,0.43,0.10,,43,,,,,,,,,,,,,,
,Courtland Sutton,DEN,8,WR22,63,48,44,-0.30,-0.08,,44,,,,,,,,,,,,,,
,Tyler Lockett,SEA,6,WR21,47,47,45,-0.04,-0.04,,45,,,,,,,,,,,,,,
,Keenan Allen,LAC,10,WR19,46,43,46,0.00,0.07,,46,,,,,,,,,,,,,,
